	0
A	60.97560975609756
B	94.0828402366864
C	89.74358974358974
D	94.65648854961832
E	88.88888888888889
F	94.53551912568307
G	93.19727891156462
H	97.8211009174312
I	96.2432915921288
K	90.6614785992218
overall	94.40642665873251
